?-tech [MPa]	?-technisch [%]
9.9976	0.006
9.9841	0.006
29.9434	0.0162
30.5516	0.0165
31.1643	0.0165
31.741	0.017
32.3492	0.017
32.9575	0.0175
33.5341	0.0177
34.1245	0.0182
34.7416	0.0182
35.3273	0.0187
35.8996	0.019
36.5078	0.0192
37.1024	0.0195
37.6792	0.02
38.2605	0.0202
38.8462	0.0205
39.4228	0.0207
40.0085	0.021
40.5942	0.0215
41.1755	0.0217
41.7701	0.022
42.3649	0.0222
42.9461	0.0225
43.5228	0.0227
44.1131	0.023
44.6806	0.0235
45.2529	0.0237
45.8386	0.024
46.4243	0.0242
47.0101	0.0245
47.6047	0.025
48.1815	0.025
48.7492	0.0252
49.3393	0.0257
49.9026	0.026
50.4657	0.0262
51.0514	0.0265
51.6281	0.027
52.1868	0.0272
52.768	0.0272
53.3582	0.0277
53.9214	0.0277
54.5071	0.0282
55.0928	0.0285
55.656	0.0287
56.2282	0.0292
56.8139	0.0295
57.3681	0.0297
57.9313	0.03
58.5125	0.03
59.0802	0.0305
59.6344	0.031
60.2201	0.031
60.7832	0.0312
61.3419	0.0317
61.9185	0.032
62.4908	0.0322
63.0405	0.0325
63.6216	0.0325
64.1848	0.033
64.7255	0.0332
65.2931	0.0335
65.8654	0.0337
66.4105	0.034
66.9827	0.0342
67.5594	0.0345
68.1136	0.035
68.6677	0.0352
69.24	0.0355
69.7851	0.0357
70.3303	0.0362
70.898	0.0365
71.4431	0.0367
71.9883	0.0372
72.556	0.0375
73.1147	0.0377
73.6509	0.038
74.214	0.0382
74.7636	0.0385
75.3044	0.0387
75.8495	0.0392
76.4037	0.0392
76.9443	0.0397
77.4895	0.04
78.0437	0.0405
78.5843	0.0405
79.1295	0.0407
79.6701	0.041
80.2018	0.0412
80.7334	0.0415
81.274	0.042
81.7922	0.0422
82.3329	0.0425
82.869	0.0427
83.4052	0.043
83.9277	0.0432
84.4729	0.0437
84.9866	0.044
85.5183	0.0442
86.0319	0.0445
86.5636	0.0447
87.0817	0.045
87.6178	0.0452
88.1359	0.0457
88.663	0.0457
89.1766	0.046
89.6994	0.0462
90.1995	0.0465
90.7265	0.0467
91.2402	0.047
91.7493	0.0475
92.2629	0.0475
92.7856	0.0477
93.2766	0.048
93.7858	0.0482
94.2994	0.0485
94.7995	0.0487
95.2996	0.049
95.8222	0.0492
96.3223	0.0495
96.8269	0.0497
97.3405	0.05
97.8586	0.0502
98.3543	0.0505
98.8635	0.051
99.3816	0.0512
99.8861	0.0512
100.4133	0.0517
100.9675	0.052
101.5172	0.0522
102.0984	0.0525
102.6975	0.053
103.3103	0.0532
103.9545	0.0535
104.6305	0.054
105.3107	0.0545
106.0225	0.0545
106.757	0.055
107.4914	0.0552
108.2573	0.056
109.0458	0.056
109.8658	0.0567
110.6948	0.057
111.5418	0.0572
112.4248	0.0577
113.3169	0.0582
114.2271	0.0587
115.1597	0.0592
116.1194	0.06
117.0925	0.0605
118.0838	0.061
119.1064	0.0615
120.1518	0.0622
121.2105	0.0627
122.2829	0.0635
123.3776	0.064
124.4725	0.0645
125.5944	0.0652
126.7433	0.0657
127.9147	0.0665
129.1041	0.0672
130.3205	0.0677
131.5465	0.0685
132.78	0.0692
134.0372	0.0697
135.3167	0.0705
136.6199	0.071
137.9349	0.0717
139.2775	0.0725
140.6386	0.0732
142.0035	0.0737
143.3909	0.0745
144.7966	0.0755
146.2208	0.0762
147.6437	0.0767
149.0994	0.0777
150.5551	0.0785
152.0371	0.0792
153.5376	0.08
155.0511	0.0807
156.5779	0.0815
158.1375	0.0822
159.6918	0.0832
161.2593	0.084
162.8545	0.085
164.468	0.0855
166.071	0.0867
167.7069	0.088
169.352	0.0885
171.0142	0.0897
172.6855	0.0907
174.3845	0.0912
176.1006	0.0922
177.8352	0.0932
179.5789	0.0945
181.3449	0.0952
183.1242	0.0962
184.9047	0.0975
186.7063	0.098
188.5223	0.0992
190.3462	0.1002
192.1899	0.1012
194.0546	0.1022
195.9206	0.1032
197.7984	0.1042
199.7	0.1055
201.6054	0.1065
203.5253	0.1077
205.4492	0.1087
207.3862	0.1097
209.3193	0.1107
211.2708	0.112
213.221	0.1132
215.208	0.1145
217.191	0.116
219.2004	0.1172
221.2097	0.1182
223.2191	0.1192
225.2153	0.1207
227.2193	0.122
229.1971	0.123
231.1618	0.1242
233.1303	0.1255
235.0858	0.1265
237.0281	0.1277
238.9703	0.1292
240.8942	0.13
242.8036	0.1312
244.7012	0.1335
246.5974	0.1335
248.4898	0.1352
250.3913	0.136
252.2652	0.1372
254.1535	0.1387
256.0182	0.1407
257.8698	0.1415
259.7082	0.1425
261.5558	0.1435
263.3758	0.145
