engineering_strain_fraction,engineering_strain_percent,engineering_stress_MPa,true_strain,true_stress_MPa,plastic_strain
6e-05,0.006,9.9976,5.999820007199676e-05,9.998199856,1.238772456723486e-05
0.00016199999999999998,0.0162,29.9434,0.00016198687941700382,29.9482508308,1.9376161175099077e-05
0.000165,0.0165,30.5516,0.00016498638899718973,30.556641014,1.947857464480878e-05
0.00017,0.017,31.741,0.0001699855516374579,31.74639597,1.8812237494600777e-05
0.00017500000000000003,0.0175,32.9575,0.00017498468928622393,32.96326756250001,1.801674851241436e-05
0.000177,0.0177,33.5341,0.00017698433734816566,33.54003553570001,1.726988241626087e-05
0.000182,0.0182,34.1245,0.00018198344000924842,34.130710658999995,1.9456246394962726e-05
0.00018700000000000002,0.0187,35.3273,0.00018698251767942868,35.3339062051,1.8725821464666778e-05
0.00018999999999999998,0.019,35.8996,0.00018998195228600757,35.906420923999995,1.8998995505055204e-05
0.00019199999999999998,0.0192,36.5078,0.0001919815703589563,36.514809497600005,1.8101525132289617e-05
0.000195,0.0195,37.1024,0.00019498098997126358,37.109634968,1.8268442504596898e-05
0.0002,0.02,37.6792,0.00019998000266626675,37.68673584,2.0519355809123902e-05
0.000202,0.0202,38.2605,0.00020197960074705318,38.268228621,1.9749940647053173e-05
0.000205,0.0205,38.8462,0.00020497899037126688,38.85416347100001,1.9959164318885894e-05
0.000207,0.0207,39.4228,0.00020697857845612206,39.430960519600006,1.921209979136013e-05
0.00021,0.021,40.0085,0.0002099779530865139,40.016901785,1.9421277919847227e-05
0.000215,0.0215,40.5942,0.00021497689081225756,40.602927753,2.1629615797971838e-05
0.00021700000000000002,0.0217,41.1755,0.0002169764589055501,41.1844350835,2.0860101365073928e-05
0.00021999999999999998,0.022,41.7701,0.00021997580354874777,41.779289422000005,2.10268063011287e-05
0.000222,0.0222,42.3649,0.00022197536164640888,42.3743050078,2.0192956847361285e-05
0.000225,0.0225,42.9461,0.00022497469129623439,42.955762872499996,2.0423439522424875e-05
0.00022700000000000002,0.0227,43.5228,0.000226974239398364,43.532679675599994,1.9675764752649747e-05
0.00023,0.023,44.1131,0.0002299735540549672,44.123246013,1.9862858754967196e-05
0.000235,0.0235,44.6806,0.00023497239182519603,44.691099941,2.2157630201386516e-05
0.000237,0.0237,45.2529,0.0002369719199365624,45.2636249373,2.1430848806562407e-05
0.00024,0.024,45.8386,0.00023997120460717073,45.849601264,2.1639770016694532e-05
0.000242,0.0242,46.4243,0.0002419707227233054,46.43553468060001,2.08491290061625e-05
0.000245,0.0245,47.0101,0.0002449699924011411,47.021617474500005,2.1057528236855324e-05
0.00025,0.025,47.6047,0.000249968755207357,47.61660117500001,2.3223035326404567e-05
0.000252,0.0252,48.7492,0.00025196825333332804,48.7614847984,1.9770706674280435e-05
0.000257,0.0257,49.3393,0.0002569669811571073,49.3519802001,2.195755163282158e-05
0.00026,0.026,49.9026,0.0002599662058575244,49.915574676,2.227299311466729e-05
0.000262,0.0262,50.4657,0.0002619656839937316,50.478922013399995,2.158986488230309e-05
0.000265,0.0265,51.0514,0.00026496489370197567,51.064928621,2.1798566935309012e-05
0.00027,0.027,51.6281,0.0002699635565596717,51.642039587000006,2.404908233586214e-05
