time,mean_u1_right_mm,sum_rf1_left_N,sum_rf1_right_N,tensile_force_from_left_N,tensile_force_from_right_N,right_u_node_count,left_rf_node_count,right_rf_node_count
0.01,0.02,-650.8086745566569,650.8086729101053,650.8086745566569,650.8086729101053,267,267,267
0.02,0.04,-1301.477080149725,1301.477087844016,1301.477080149725,1301.477087844016,267,267,267
0.035,0.07,-2277.216866607184,2277.2168882892206,2277.216866607184,2277.2168882892206,267,267,267
0.0575,0.115,-3740.2354099463464,3740.235378556645,3740.2354099463464,3740.235378556645,267,267,267
0.09125,0.1825,-5933.434264797567,5933.4342561812455,5933.434264797567,5933.4342561812455,267,267,267
0.14125,0.2825,-8908.293492440858,8908.293404289467,8908.293492440858,8908.293404289467,267,267,267
0.15375,0.3075,-9016.101348864808,9016.101262939861,9016.101348864808,9016.101262939861,267,267,267
0.16625,0.3325,-9120.389135423613,9120.389151505047,9120.389135423613,9120.389151505047,267,267,267
0.17875,0.3575,-9238.652501605578,9238.652549870114,9238.652501605578,9238.652549870114,267,267,267
0.1975,0.395,-9511.18469247652,9511.184806298184,9511.18469247652,9511.184806298184,267,267,267
0.21625,0.4325,-9719.456595724898,9719.456713610245,9719.456595724898,9719.456713610245,267,267,267
0.235,0.47,-9866.872240520728,9866.87218145074,9866.872240520728,9866.87218145074,267,267,267
0.263125,0.52625,-9997.974706016574,9997.974769870401,9997.974706016574,9997.974769870401,267,267,267
0.3053125,0.610625,-10056.54988421864,10056.549819056978,10056.54988421864,10056.549819056978,267,267,267
0.3553125,0.710625,-10059.845734121274,10059.845679013106,10059.845734121274,10059.845679013106,267,267,267
0.4053125,0.810625,-10071.314603730581,10071.314528842586,10071.314603730581,10071.314528842586,267,267,267
0.4553125,0.910625,-10093.77545296157,10093.775408540312,10093.77545296157,10093.775408540312,267,267,267
0.5053125,1.010625,-10131.475261505386,10131.475208078426,10131.475261505386,10131.475208078426,267,267,267
0.5553125,1.110625,-10186.701719680323,10186.701697367569,10186.701719680323,10186.701697367569,267,267,267
0.6053125,1.210625,-10254.990627700598,10254.990586545016,10254.990627700598,10254.990586545016,267,267,267
0.6553125,1.310625,-10325.032495476376,10325.032515843546,10325.032495476376,10325.032515843546,267,267,267
0.7053125,1.410625,-10394.45037335577,10394.45047533232,10394.45037335577,10394.45047533232,267,267,267
0.7553125,1.510625,-10462.461511746744,10462.46152496546,10462.461511746744,10462.46152496546,267,267,267
0.8053125,1.610625,-10527.914300021746,10527.91424458946,10527.914300021746,10527.91424458946,267,267,267
0.8553125,1.710625,-10590.093308534939,10590.093174179357,10590.093308534939,10590.093174179357,267,267,267
0.9053125,1.810625,-10650.66302719991,10650.663043743347,10650.66302719991,10650.663043743347,267,267,267
0.9553125,1.910625,-10709.33573599006,10709.335833331275,10709.33573599006,10709.335833331275,267,267,267
1.0,2.0,-10760.203894653512,10760.203833059353,10760.203894653512,10760.203833059353,267,267,267
