nid,x_mm,y_mm,z_mm,ix,iy,iz
1,-107.5,-12.5,-1.0,0,0,0
2,-107.5,-12.5,-0.5,0,0,1
3,-107.5,-12.5,0.0,0,0,2
4,-107.5,-12.5,0.5,0,0,3
5,-107.5,-12.5,1.0,0,0,4
6,-107.5,-10.416666666666668,-1.0,0,1,0
7,-107.5,-10.416666666666668,-0.5,0,1,1
8,-107.5,-10.416666666666668,0.0,0,1,2
9,-107.5,-10.416666666666668,0.5,0,1,3
10,-107.5,-10.416666666666668,1.0,0,1,4
11,-107.5,-8.333333333333334,-1.0,0,2,0
12,-107.5,-8.333333333333334,-0.5,0,2,1
13,-107.5,-8.333333333333334,0.0,0,2,2
14,-107.5,-8.333333333333334,0.5,0,2,3
15,-107.5,-8.333333333333334,1.0,0,2,4
16,-107.5,-6.25,-1.0,0,3,0
17,-107.5,-6.25,-0.5,0,3,1
18,-107.5,-6.25,0.0,0,3,2
19,-107.5,-6.25,0.5,0,3,3
20,-107.5,-6.25,1.0,0,3,4
21,-107.5,-4.166666666666667,-1.0,0,4,0
22,-107.5,-4.166666666666667,-0.5,0,4,1
23,-107.5,-4.166666666666667,0.0,0,4,2
24,-107.5,-4.166666666666667,0.5,0,4,3
25,-107.5,-4.166666666666667,1.0,0,4,4
26,-107.5,-2.0833333333333344,-1.0,0,5,0
27,-107.5,-2.0833333333333344,-0.5,0,5,1
28,-107.5,-2.0833333333333344,0.0,0,5,2
29,-107.5,-2.0833333333333344,0.5,0,5,3
30,-107.5,-2.0833333333333344,1.0,0,5,4
31,-107.5,0.0,-1.0,0,6,0
32,-107.5,0.0,-0.5,0,6,1
33,-107.5,0.0,0.0,0,6,2
34,-107.5,0.0,0.5,0,6,3
35,-107.5,0.0,1.0,0,6,4
36,-107.5,2.0833333333333313,-1.0,0,7,0
37,-107.5,2.0833333333333313,-0.5,0,7,1
38,-107.5,2.0833333333333313,0.0,0,7,2
39,-107.5,2.0833333333333313,0.5,0,7,3
40,-107.5,2.0833333333333313,1.0,0,7,4
41,-107.5,4.166666666666666,-1.0,0,8,0
42,-107.5,4.166666666666666,-0.5,0,8,1
43,-107.5,4.166666666666666,0.0,0,8,2
44,-107.5,4.166666666666666,0.5,0,8,3
45,-107.5,4.166666666666666,1.0,0,8,4
46,-107.5,6.25,-1.0,0,9,0
47,-107.5,6.25,-0.5,0,9,1
48,-107.5,6.25,0.0,0,9,2
49,-107.5,6.25,0.5,0,9,3
50,-107.5,6.25,1.0,0,9,4
51,-107.5,8.333333333333332,-1.0,0,10,0
52,-107.5,8.333333333333332,-0.5,0,10,1
53,-107.5,8.333333333333332,0.0,0,10,2
54,-107.5,8.333333333333332,0.5,0,10,3
55,-107.5,8.333333333333332,1.0,0,10,4
56,-107.5,10.416666666666666,-1.0,0,11,0
57,-107.5,10.416666666666666,-0.5,0,11,1
58,-107.5,10.416666666666666,0.0,0,11,2
59,-107.5,10.416666666666666,0.5,0,11,3
60,-107.5,10.416666666666666,1.0,0,11,4
61,-107.5,12.5,-1.0,0,12,0
62,-107.5,12.5,-0.5,0,12,1
63,-107.5,12.5,0.0,0,12,2
64,-107.5,12.5,0.5,0,12,3
65,-107.5,12.5,1.0,0,12,4
66,-105.0,-12.5,-1.0,1,0,0
67,-105.0,-12.5,-0.5,1,0,1
68,-105.0,-12.5,0.0,1,0,2
69,-105.0,-12.5,0.5,1,0,3
70,-105.0,-12.5,1.0,1,0,4
71,-105.0,-10.416666666666668,-1.0,1,1,0
72,-105.0,-10.416666666666668,-0.5,1,1,1
73,-105.0,-10.416666666666668,0.0,1,1,2
74,-105.0,-10.416666666666668,0.5,1,1,3
75,-105.0,-10.416666666666668,1.0,1,1,4
76,-105.0,-8.333333333333334,-1.0,1,2,0
77,-105.0,-8.333333333333334,-0.5,1,2,1
78,-105.0,-8.333333333333334,0.0,1,2,2
79,-105.0,-8.333333333333334,0.5,1,2,3
80,-105.0,-8.333333333333334,1.0,1,2,4
81,-105.0,-6.25,-1.0,1,3,0
82,-105.0,-6.25,-0.5,1,3,1
83,-105.0,-6.25,0.0,1,3,2
84,-105.0,-6.25,0.5,1,3,3
85,-105.0,-6.25,1.0,1,3,4
86,-105.0,-4.166666666666667,-1.0,1,4,0
87,-105.0,-4.166666666666667,-0.5,1,4,1
88,-105.0,-4.166666666666667,0.0,1,4,2
89,-105.0,-4.166666666666667,0.5,1,4,3
90,-105.0,-4.166666666666667,1.0,1,4,4
91,-105.0,-2.0833333333333344,-1.0,1,5,0
92,-105.0,-2.0833333333333344,-0.5,1,5,1
93,-105.0,-2.0833333333333344,0.0,1,5,2
94,-105.0,-2.0833333333333344,0.5,1,5,3
95,-105.0,-2.0833333333333344,1.0,1,5,4
96,-105.0,0.0,-1.0,1,6,0
97,-105.0,0.0,-0.5,1,6,1
98,-105.0,0.0,0.0,1,6,2
99,-105.0,0.0,0.5,1,6,3
100,-105.0,0.0,1.0,1,6,4
101,-105.0,2.0833333333333313,-1.0,1,7,0
102,-105.0,2.0833333333333313,-0.5,1,7,1
103,-105.0,2.0833333333333313,0.0,1,7,2
104,-105.0,2.0833333333333313,0.5,1,7,3
105,-105.0,2.0833333333333313,1.0,1,7,4
106,-105.0,4.166666666666666,-1.0,1,8,0
107,-105.0,4.166666666666666,-0.5,1,8,1
108,-105.0,4.166666666666666,0.0,1,8,2
109,-105.0,4.166666666666666,0.5,1,8,3
110,-105.0,4.166666666666666,1.0,1,8,4
111,-105.0,6.25,-1.0,1,9,0
112,-105.0,6.25,-0.5,1,9,1
113,-105.0,6.25,0.0,1,9,2
114,-105.0,6.25,0.5,1,9,3
115,-105.0,6.25,1.0,1,9,4
116,-105.0,8.333333333333332,-1.0,1,10,0
117,-105.0,8.333333333333332,-0.5,1,10,1
118,-105.0,8.333333333333332,0.0,1,10,2
119,-105.0,8.333333333333332,0.5,1,10,3
120,-105.0,8.333333333333332,1.0,1,10,4
121,-105.0,10.416666666666666,-1.0,1,11,0
122,-105.0,10.416666666666666,-0.5,1,11,1
123,-105.0,10.416666666666666,0.0,1,11,2
124,-105.0,10.416666666666666,0.5,1,11,3
125,-105.0,10.416666666666666,1.0,1,11,4
126,-105.0,12.5,-1.0,1,12,0
127,-105.0,12.5,-0.5,1,12,1
128,-105.0,12.5,0.0,1,12,2
129,-105.0,12.5,0.5,1,12,3
130,-105.0,12.5,1.0,1,12,4
131,-102.5,-12.5,-1.0,2,0,0
132,-102.5,-12.5,-0.5,2,0,1
133,-102.5,-12.5,0.0,2,0,2
134,-102.5,-12.5,0.5,2,0,3
135,-102.5,-12.5,1.0,2,0,4
136,-102.5,-10.416666666666668,-1.0,2,1,0
137,-102.5,-10.416666666666668,-0.5,2,1,1
138,-102.5,-10.416666666666668,0.0,2,1,2
139,-102.5,-10.416666666666668,0.5,2,1,3
140,-102.5,-10.416666666666668,1.0,2,1,4
141,-102.5,-8.333333333333334,-1.0,2,2,0
142,-102.5,-8.333333333333334,-0.5,2,2,1
143,-102.5,-8.333333333333334,0.0,2,2,2
144,-102.5,-8.333333333333334,0.5,2,2,3
145,-102.5,-8.333333333333334,1.0,2,2,4
146,-102.5,-6.25,-1.0,2,3,0
147,-102.5,-6.25,-0.5,2,3,1
148,-102.5,-6.25,0.0,2,3,2
149,-102.5,-6.25,0.5,2,3,3
150,-102.5,-6.25,1.0,2,3,4
151,-102.5,-4.166666666666667,-1.0,2,4,0
152,-102.5,-4.166666666666667,-0.5,2,4,1
153,-102.5,-4.166666666666667,0.0,2,4,2
154,-102.5,-4.166666666666667,0.5,2,4,3
155,-102.5,-4.166666666666667,1.0,2,4,4
156,-102.5,-2.0833333333333344,-1.0,2,5,0
157,-102.5,-2.0833333333333344,-0.5,2,5,1
158,-102.5,-2.0833333333333344,0.0,2,5,2
159,-102.5,-2.0833333333333344,0.5,2,5,3
160,-102.5,-2.0833333333333344,1.0,2,5,4
161,-102.5,0.0,-1.0,2,6,0
162,-102.5,0.0,-0.5,2,6,1
163,-102.5,0.0,0.0,2,6,2
164,-102.5,0.0,0.5,2,6,3
165,-102.5,0.0,1.0,2,6,4
166,-102.5,2.0833333333333313,-1.0,2,7,0
167,-102.5,2.0833333333333313,-0.5,2,7,1
168,-102.5,2.0833333333333313,0.0,2,7,2
169,-102.5,2.0833333333333313,0.5,2,7,3
