eta_index,eta,z_index,z_mm
0,-1.000000000,0,-1.000000000
0,-1.000000000,1,-0.500000000
0,-1.000000000,2,0.000000000
0,-1.000000000,3,0.500000000
0,-1.000000000,4,1.000000000
1,-0.833333333,0,-1.000000000
1,-0.833333333,1,-0.500000000
1,-0.833333333,2,0.000000000
1,-0.833333333,3,0.500000000
1,-0.833333333,4,1.000000000
2,-0.666666667,0,-1.000000000
2,-0.666666667,1,-0.500000000
2,-0.666666667,2,0.000000000
2,-0.666666667,3,0.500000000
2,-0.666666667,4,1.000000000
3,-0.500000000,0,-1.000000000
3,-0.500000000,1,-0.500000000
3,-0.500000000,2,0.000000000
3,-0.500000000,3,0.500000000
3,-0.500000000,4,1.000000000
4,-0.333333333,0,-1.000000000
4,-0.333333333,1,-0.500000000
4,-0.333333333,2,0.000000000
4,-0.333333333,3,0.500000000
4,-0.333333333,4,1.000000000
5,-0.166666667,0,-1.000000000
5,-0.166666667,1,-0.500000000
5,-0.166666667,2,0.000000000
5,-0.166666667,3,0.500000000
5,-0.166666667,4,1.000000000
6,0.000000000,0,-1.000000000
6,0.000000000,1,-0.500000000
6,0.000000000,2,0.000000000
6,0.000000000,3,0.500000000
6,0.000000000,4,1.000000000
7,0.166666667,0,-1.000000000
7,0.166666667,1,-0.500000000
7,0.166666667,2,0.000000000
7,0.166666667,3,0.500000000
7,0.166666667,4,1.000000000
8,0.333333333,0,-1.000000000
8,0.333333333,1,-0.500000000
8,0.333333333,2,0.000000000
8,0.333333333,3,0.500000000
8,0.333333333,4,1.000000000
9,0.500000000,0,-1.000000000
9,0.500000000,1,-0.500000000
9,0.500000000,2,0.000000000
9,0.500000000,3,0.500000000
9,0.500000000,4,1.000000000
10,0.666666667,0,-1.000000000
10,0.666666667,1,-0.500000000
10,0.666666667,2,0.000000000
10,0.666666667,3,0.500000000
10,0.666666667,4,1.000000000
11,0.833333333,0,-1.000000000
11,0.833333333,1,-0.500000000
11,0.833333333,2,0.000000000
11,0.833333333,3,0.500000000
11,0.833333333,4,1.000000000
12,1.000000000,0,-1.000000000
12,1.000000000,1,-0.500000000
12,1.000000000,2,0.000000000
12,1.000000000,3,0.500000000
12,1.000000000,4,1.000000000
